Orbital number	Name	Eigenvalue (eV)	C=C	C6H4
60	L + 24	21.621634212	0.122060909867	0.877938449383
59	L + 23	21.212918984	0.300776004791	0.699223458767
58	L + 22	19.517104536	0.751173496246	0.248827293515
57	L + 21	18.57994392	0.624888300896	0.375107944012
56	L + 20	17.407404694	0.633020043373	0.366962790489
55	L + 19	17.006580772	0.659410059452	0.34058251977
54	L + 18	16.311601616	0.176755577326	0.82323807478
53	L + 17	15.674038514	0.156626030803	0.843378722668
52	L + 16	14.852526348	0.328416526318	0.671576738358
51	L + 15	14.319727136	0.332981079817	0.667014837265
50	L + 14	13.014124164	0.420177519321	0.579823851585
49	L + 13	12.320233464	0.597742557526	0.402264624834
48	L + 12	11.963219896	0.36756247282	0.632437169552
47	L + 11	11.612737064	0.423583745956	0.576404929161
46	L + 10	11.20973623	0.491929113865	0.508066117764
45	L + 9	11.183069058	0.567256629467	0.432748496532
44	L + 8	10.380060644	0.702363371849	0.297637522221
43	L + 7	10.323188818	0.393557369709	0.606440126896
42	L + 6	9.271468208	0.561974823475	0.438021212816
41	L + 5	9.040443422	0.393363624811	0.606632590294
40	L + 4	7.415922842	0.128522008657	0.871487975121
39	L + 3	4.95791708	0.578738927841	0.421266436577
38	L + 2	3.009852954	0.831570029259	0.168430194259
37	L + 1	2.459094218	0.000181859504664	0.999818682671
36	LUMO	1.018250588	0.456725418568	0.543282151222
35	HOMO	-4.165521112	0.458228588104	0.541778504848
34	H - 1	-5.30758357	0.000141570359119	0.99987745285
33	H - 2	-5.780789816	0.845103085041	0.154899299145
32	H - 3	-7.171292356	0.581544995308	0.418465554714
31	H - 4	-7.822189044	0.228969946504	0.7710288167
30	H - 5	-7.966953692	0.283262968063	0.716733694077
29	H - 6	-8.46954825	0.747171938419	0.252818793058
28	H - 7	-8.8300993	0.119261011481	0.880729436874
27	H - 8	-9.45051922	0.745600640774	0.254399329424
26	H - 9	-9.55528311	0.540007352829	0.460004806519
25	H - 10	-10.176247258	0.0411352626979	0.95887452364
24	H - 11	-10.777619198	0.854034006596	0.145976662636
23	H - 12	-10.82877663	0.478235006332	0.521770656109
22	H - 13	-11.17300084	0.178717583418	0.821268677711
21	H - 14	-11.955872818	0.605861961842	0.394132375717
20	H - 15	-12.44785493	0.57129919529	0.428717404604
19	H - 16	-13.882439938	0.314675450325	0.685335040092
18	H - 17	-14.467212924	0.793617069721	0.206381574273
17	H - 18	-15.208995688	0.108410328627	0.891603827477
16	H - 19	-16.019079066	0.46821308136	0.531786561012
15	H - 20	-18.1636095	0.518297016621	0.481704205275
14	H - 21	-19.041993492	0.013424674049	0.986563324928
13	H - 22	-19.536968858	0.822625637054	0.177372470498
12	H - 23	-20.517123486	0.576933324337	0.423073261976
11	H - 24	-22.027900414	0.103909850121	0.896092474461
10	H - 25	-271.905288562	1.00000047684	2.9453751722e-006
9	H - 26	-271.905288562	1.00000047684	2.25563849199e-006
8	H - 27	-272.274819374	0.000413944129832	0.999594867229
7	H - 28	-272.27862897	2.74746234936e-005	0.999983966351
6	H - 29	-272.298493292	1.34399069793e-005	0.999988675117
5	H - 30	-272.298765406	0.000205922086025	0.999789059162
4	H - 31	-272.334684454	0.99851244688	0.00148273725063
3	H - 32	-272.334956568	0.998768687248	0.0012416318059
2	H - 33	-272.662581824	0.0010508481646	0.998946785927
1	H - 34	-272.663942394	0.00101272505708	0.998978197575
