Energy (eV)	C=C	C6H4
-20.0	0.00126613808215	0.00035195813708
-19.797979798	0.100861172608	0.0217474904896
-19.595959596	0.739000283844	0.15941848523
-19.3939393939	0.43832062017	0.11616798453
-19.1919191919	0.0277202770155	0.498147719756
-18.9898989899	0.0124294235502	0.907453747211
-18.7878787879	0.00183953463409	0.134953591791
-18.5858585859	0.00215587398527	0.00360669270102
-18.3838383838	0.116326613494	0.108115280881
-18.1818181818	0.513030004129	0.476809054576
-17.9797979798	0.183037973331	0.170115124439
-17.7777777778	0.00528292328948	0.00490993828458
-17.5757575758	1.23350832113e-005	1.14642015384e-005
-17.3737373737	2.32993891651e-009	2.16544054494e-009
-17.1717171717	3.56033811411e-014	3.30898729977e-014
-16.9696969697	3.8021951086e-013	4.31845306991e-013
-16.7676767677	1.48860372807e-008	1.69072477634e-008
-16.5656565657	4.7147484775e-005	5.35491206612e-005
-16.3636363636	0.0120801583849	0.0137203895828
-16.1616161616	0.250392548691	0.284390585553
-15.9595959596	0.419860336228	0.476868553285
-15.7575757576	0.056964037225	0.0647708814888
-15.5555555556	0.00330529037992	0.0227535352233
-15.3535353535	0.0569588462253	0.468445207664
-15.1515151515	0.0979191532298	0.805317359342
-14.9494949495	0.0142311679683	0.112157538189
-14.7474747475	0.0707397432529	0.0196162097957
-14.5454545455	0.657214963078	0.170911860035
-14.3434343434	0.495476238141	0.129715259229
-14.1414141414	0.0700250059934	0.0946589000784
-13.9393939394	0.284898916609	0.620199248542
-13.7373737374	0.164554268898	0.358384394376
-13.5353535354	0.00769287334943	0.0167543914174
-13.3333333333	2.90939787108e-005	6.33640620703e-005
-13.1313131313	3.30454797513e-007	2.60688087351e-007
-12.9292929293	0.000452695931545	0.000339714507948
-12.7272727273	0.0515578296193	0.0386903022194
-12.5252525253	0.475053685856	0.35648955072
-12.3232323232	0.363538260399	0.271861322904
-12.1212121212	0.282339924248	0.185803631068
-11.9191919192	0.581366467073	0.37820770872
-11.7171717172	0.104745120162	0.0682169902775
-11.5151515152	0.00637853201723	0.0232891570236
-11.3131313131	0.0980729014408	0.448903751683
-11.1111111111	0.227624591666	0.779374143114
-10.9090909091	0.914397868052	0.609531369918
-10.7070707071	1.03587704135	0.457012167192
-10.5050505051	0.107011945156	0.0697750354353
-10.303030303	0.0259940720928	0.584640264303
-10.101010101	0.0346107855759	0.805477401734
-9.89898989899	0.0195576391589	0.102404145741
-9.69696969697	0.405765195687	0.287816374551
-9.49494949495	1.18433168383	0.650597796801
-9.29292929293	0.411882602797	0.174763990831
-9.09090909091	0.0292562027682	0.113671002916
-8.88888888889	0.110577895715	0.792912189493
-8.68686868687	0.237790854726	0.52714400549
-8.48484848485	0.744908254848	0.273578858226
-8.28282828283	0.268692574048	0.120717822287
-8.08080808081	0.22627664382	0.581386500597
-7.87878787879	0.430410314712	1.26268133018
-7.67676767677	0.140739961751	0.455622569016
-7.47474747475	0.039802714332	0.0436445295087
-7.27272727273	0.423590365533	0.304860833279
-7.07070707071	0.425815010538	0.306406083526
-6.86868686869	0.0346299663406	0.0249188767707
-6.66666666667	0.000227833668129	0.000163943520698
-6.46464646465	5.89006495412e-007	1.72989292731e-007
-6.26262626263	0.000661785971133	0.000121299031825
-6.06060606061	0.0757459521702	0.0138835332682
-5.85858585859	0.701351912982	0.128637777441
-5.65656565657	0.525351464553	0.119761565121
-5.45454545455	0.0319069179899	0.519862326399
-5.25252525253	0.000285001516764	0.91075710478
-5.05050505051	1.85440208981e-005	0.13053478825
-4.84848484848	4.77639510991e-007	0.00151386635172
-4.64646464646	0.000368461450153	0.00043706339886
-4.44444444444	0.0417067991081	0.0493112998595
-4.24242424242	0.381906080475	0.451539931474
-4.0404040404	0.282905218608	0.334488005179
-3.83838383838	0.0169535252462	0.0200447021383
-3.63636363636	8.21890099171e-005	9.71747290846e-005
-3.43434343434	3.22331057559e-008	3.81102451841e-008
-3.23232323232	1.02264577931e-012	1.20910723532e-012
-3.0303030303	2.62471999854e-018	3.10329148676e-018
-2.82828282828	5.44973523179e-025	6.44339851844e-025
-2.62626262626	9.15382275391e-033	1.08228611964e-032
-2.42424242424	1.24383927981e-041	1.47063147691e-041
-2.22222222222	1.36729022493e-051	1.61659152874e-051
-2.0202020202	1.21588310324e-062	1.43757798367e-062
-1.81818181818	8.74696946433e-075	1.03418253714e-074
-1.61616161616	5.09047860996e-088	6.01863782171e-088
-1.41414141414	3.17256609175e-080	3.77381783705e-080
-1.21212121212	1.27120708303e-067	1.51212104832e-067
-1.0101010101	4.1205634196e-056	4.90147573977e-056
-0.808080808081	1.08051692585e-045	1.28529207275e-045
-0.606060606061	2.29214041517e-036	2.72653748846e-036
-0.40404040404	3.93355779911e-028	4.67902957921e-028
-0.20202020202	5.4609038016e-021	6.49583194702e-021
0.0	6.13307377872e-015	7.29538882806e-015
