Energy (cm-1)	Wavelength (nm)	Oscillator strength
50000.0	200.0	177340.548394
49939.8797595	200.240770465	151729.514649
49879.759519	200.482121334	129536.711282
49819.6392786	200.724054706	110354.691643
49759.5190381	200.966572694	93817.8767133
49699.3987976	201.209677419	79599.459531
49639.2785571	201.453371013	67408.3988127
49579.1583166	201.697655618	56986.5309835
49519.0380762	201.942533387	48105.8248394
49458.9178357	202.188006483	40565.7986535
49398.7975952	202.434077079	34191.1157084
49338.6773547	202.68074736	28829.3710086
49278.5571142	202.92801952	24349.0793004
49218.4368737	203.175895765	20637.8724974
49158.3166333	203.424378312	17600.9131569
49098.1963928	203.673469388	15159.5297622
49038.0761523	203.92317123	13250.0792054
48977.9559118	204.173486088	11823.0420085
48917.8356713	204.424416223	10842.3564285
48857.7154309	204.675963905	10284.9986315
48797.5951904	204.928131417	10140.817552
48737.4749499	205.180921053	10412.6348234
48677.3547094	205.434335117	11116.6222432
48617.2344689	205.688375927	12282.9715589
48557.1142285	205.943045811	13956.8738768
48496.993988	206.198347107	16199.8286482
48436.8737475	206.454282168	19091.3049095
48376.753507	206.710853355	22730.7801641
48316.6332665	206.968063044	27240.1849303
48256.5130261	207.225913621	32766.7834262
48196.3927856	207.484407484	39486.5230466
48136.2725451	207.743547044	47607.8870746
48076.1523046	208.003334723	57376.286359
48016.0320641	208.263772955	69079.0263321
47955.9118236	208.524864187	83050.8856081
47895.7915832	208.786610879	99680.341333
47835.6713427	209.049015501	119416.474297
47775.5511022	209.312080537	142776.583399
47715.4308617	209.575808484	170354.5342
47655.3106212	209.84020185	202829.859858
47595.1903808	210.105263158	240977.624538
47535.0701403	210.370994941	285679.049222
47474.9498998	210.637399747	337932.887723
47414.8296593	210.904480135	398867.526263
47354.7094188	211.17223868	469753.763421
47294.5891784	211.440677966	552018.208239
47234.4689379	211.709800594	647257.21304
47174.3486974	211.979609176	757251.233944
47114.2284569	212.250106338	883979.486308
47054.1082164	212.521294719	1029634.73465
46993.987976	212.793176972	1196638.02705
46933.8677355	213.065755764	1387653.15336
46873.747495	213.339033775	1605600.57438
46813.6272545	213.613013699	1853670.53735
46753.507014	213.887698243	2135335.06059
46693.3867735	214.163090129	2454358.43929
46633.2665331	214.439192093	2814805.89473
46573.1462926	214.716006885	3221049.96248
46513.0260521	214.993537268	3677774.19188
46452.9058116	215.271786022	4189973.71032
46392.7855711	215.55075594	4762952.19305
46332.6653307	215.830449827	5402314.77278
46272.5450902	216.110870507	6113956.42544
46212.4248497	216.392020815	6904045.37885
46152.3046092	216.673903604	7779001.11182
46092.1843687	216.956521739	8745466.54281
46032.0641283	217.239878102	9810274.0503
45971.9438878	217.523975588	10980405.0227
45911.8236473	217.80881711	12262942.7035
45851.7034068	218.094405594	13665018.1785
45791.5831663	218.380743982	15193749.4459
45731.4629259	218.667835232	16856173.6138
45671.3426854	218.955682317	18659172.3915
45611.2224449	219.244288225	20609391.1622
45551.1022044	219.533655961	22713152.0675
45490.9819639	219.823788546	24976361.6722
45430.8617234	220.114689016	27404413.9303
45370.741483	220.406360424	30002089.319
45310.6212425	220.698805838	32773451.1604
45250.501002	220.992028344	35721740.2933
45190.3807615	221.286031042	38849269.3976
45130.260521	221.580817052	42157318.3982
45070.1402806	221.876389506	45646032.4897
45010.0200401	222.172751558	49314324.4168
44949.8997996	222.469906375	53159782.7153
44889.7795591	222.767857143	57178587.6697
44829.6593186	223.066607063	61365436.7578
44769.5390782	223.366159355	65713481.3431
44709.4188377	223.666517257	70214276.3302
44649.2985972	223.967684022	74857744.4162
44589.1783567	224.269662921	79632156.4588
44529.0581162	224.572457246	84524129.327
44468.9378758	224.876070302	89518642.4151
44408.8176353	225.180505415	94599073.7802
44348.6973948	225.485765929	99747256.6108
44288.5771543	225.791855204	104943556.454
44228.4569138	226.09877662	110166969.326
44168.3366733	226.406533575	115395240.504
44108.2164329	226.715129487	120605003.462
44048.0961924	227.024567789	125771938.065
43987.9759519	227.334851936	130870946.801
43927.8557114	227.645985401	135876347.466
